Data,Pioggia_Zona_1,Pioggia_Zona_2,Pioggia_Zona_3,Pioggia_Zona_4,Pioggia_Zona_5,Temperatura_Zona_5,Livello_Acqua,Portata_Uscita
07/09/2003,,,,,,,26.43,2.8
08/09/2003,,,,,,,26.38,2.8
09/09/2003,,,,,,,26.33,2.8
10/09/2003,,,,,,,26.28,2.8
11/09/2003,,,,,,,26.21,2.8
12/09/2003,,,,,,,26.16,2.8
13/09/2003,,,,,,,26.1,2.8
14/09/2003,,,,,,,26.03,2.8
15/09/2003,,,,,,,25.97,2.8
16/09/2003,,,,,,,25.9,2.8
17/09/2003,,,,,,,25.84,2.8
18/09/2003,,,,,,,25.78,2.8
19/09/2003,,,,,,,25.72,3.00
20/09/2003,,,,,,,25.64,3.00
21/09/2003,,,,,,,25.59,3.00
22/09/2003,,,,,,,25.53,3.00
23/09/2003,,,,,,,25.46,3.00
24/09/2003,,,,,,,25.41,3.00
25/09/2003,,,,,,,25.34,3.00
26/09/2003,,,,,,,25.28,3.00
27/09/2003,,,,,,,25.2,3.00
28/09/2003,,,,,,,25.14,3.00
29/09/2003,,,,,,,25.11,3.00
30/09/2003,,,,,,,25.05,3.00
01/10/2003,,,,,,,24.98,3.00
02/10/2003,,,,,,,24.91,3.00
03/10/2003,,,,,,,24.86,2.7
04/10/2003,,,,,,,24.8,2.4
05/10/2003,,,,,,,24.75,2.4
06/10/2003,,,,,,,24.69,2.4
07/10/2003,,,,,,,24.64,2.00
08/10/2003,,,,,,,24.59,2.00
09/10/2003,,,,,,,24.54,2.00
10/10/2003,,,,,,,24.5,2.00
11/10/2003,,,,,,,24.47,2.00
12/10/2003,,,,,,,24.43,2.00
13/10/2003,,,,,,,24.38,2.00
14/10/2003,,,,,,,24.34,2.3
15/10/2003,,,,,,,24.29,2.3
16/10/2003,,,,,,,24.23,2.3
17/10/2003,,,,,,,24.18,2.3
18/10/2003,,,,,,,24.12,2.3
19/10/2003,,,,,,,24.07,2.3
20/10/2003,,,,,,,24.03,2.00
21/10/2003,,,,,,,24.04,0.6
22/10/2003,,,,,,,24.03,0.6
23/10/2003,,,,,,,24.02,0.6
24/10/2003,,,,,,,24.03,0.6
25/10/2003,,,,,,,24.01,0.6
26/10/2003,,,,,,,24.00,0.6
27/10/2003,,,,,,,24.01,3.00
28/10/2003,,,,,,,23.96,0.6
29/10/2003,,,,,,,23.98,0.6
30/10/2003,,,,,,,24.07,0.6
31/10/2003,,,,,,,24.12,0.6
01/11/2003,,,,,,,24.18,0.6
02/11/2003,,,,,,,24.8,0.6
03/11/2003,,,,,,,24.86,0.6
04/11/2003,,,,,,,24.87,0.6
05/11/2003,,,,,,,24.88,0.6
06/11/2003,,,,,,,24.88,0.6
07/11/2003,,,,,,,24.88,0.6
08/11/2003,,,,,,,24.92,0.6
09/11/2003,,,,,,,25.41,0.6
10/11/2003,,,,,,,25.51,0.6
11/11/2003,,,,,,,25.55,0.6
12/11/2003,,,,,,,25.58,0.6
13/11/2003,,,,,,,24.58,0.6
14/11/2003,,,,,,,25.59,0.6
15/11/2003,,,,,,,25.6,0.6
16/11/2003,,,,,,,25.62,0.6
17/11/2003,,,,,,,25.64,0.5
18/11/2003,,,,,,,25.72,0.5
19/11/2003,,,,,,,25.77,0.5
20/11/2003,,,,,,,25.78,0.5
21/11/2003,,,,,,,25.8,0.5
22/11/2003,,,,,,,25.8,0.5
23/11/2003,,,,,,,25.81,0.5
24/11/2003,,,,,,,25.82,0.5
25/11/2003,,,,,,,25.84,0.5
26/11/2003,,,,,,,25.9,0.5
27/11/2003,,,,,,,26.68,0.5
28/11/2003,,,,,,,27.37,0.5
29/11/2003,,,,,,,27.65,0.5
30/11/2003,,,,,,,27.76,0.5
01/12/2003,,,,,,,27.82,0.5
02/12/2003,,,,,,,27.88,0.5
03/12/2003,,,,,,,27.93,0.5
04/12/2003,,,,,,,27.96,0.5
05/12/2003,,,,,,,27.99,0.5
06/12/2003,,,,,,,28.01,0.5
07/12/2003,,,,,,,28.03,0.5
08/12/2003,,,,,,,28.04,0.5
09/12/2003,,,,,,,28.04,0.5
10/12/2003,,,,,,,28.05,0.5
11/12/2003,,,,,,,28.16,0.5
12/12/2003,,,,,,,28.23,0.5
13/12/2003,,,,,,,28.28,0.5
14/12/2003,,,,,,,28.31,0.5
15/12/2003,,,,,,,28.33,0.5
16/12/2003,,,,,,,28.35,0.5
17/12/2003,,,,,,,28.36,0.5
18/12/2003,,,,,,,28.37,0.5
19/12/2003,,,,,,,28.38,0.5
20/12/2003,,,,,,,28.39,0.5
21/12/2003,,,,,,,28.42,0.5
22/12/2003,,,,,,,28.82,0.5
23/12/2003,,,,,,,28.94,0.5
24/12/2003,,,,,,,28.99,0.5
25/12/2003,,,,,,,29.01,0.5
26/12/2003,,,,,,,29.04,0.5
27/12/2003,,,,,,,29.06,0.5
28/12/2003,,,,,,,29.09,0.5
29/12/2003,,,,,,,29.2,0.5
30/12/2003,,,,,,,29.67,0.5
31/12/2003,,,,,,,29.95,0.5
01/01/2004,0.00,0.00,0.4,0.00,0.00,,30.14,0.5
02/01/2004,0.00,0.00,0.00,0.00,0.00,6.5,30.21,0.5
03/01/2004,0.00,0.00,0.00,0.00,0.00,4.45,30.28,0.5
04/01/2004,0.00,0.00,0.00,0.00,0.00,2.00,30.35,0.5
05/01/2004,0.2,0.00,0.00,0.00,0.00,0.9,30.37,0.5
06/01/2004,0.00,0.00,0.00,0.00,0.00,2.25,30.42,0.5
07/01/2004,0.00,0.00,0.00,0.00,0.00,3.65,30.43,0.5
08/01/2004,0.00,0.8,0.00,0.00,0.00,3.35,30.45,0.5
09/01/2004,4.6,5.8,3.8,5.6,7.8,5.55,30.49,0.5
10/01/2004,0.00,0.00,0.00,0.00,0.00,6.1,30.52,0.5
11/01/2004,0.00,0.00,0.00,0.00,0.00,6.25,30.53,0.5
12/01/2004,1.8,1.6,1.2,3.4,3.6,6.7,30.55,0.5
13/01/2004,0.4,2.6,0.8,1.2,0.6,8.6,30.58,0.5
14/01/2004,0.00,0.2,0.00,0.00,0.00,12.2,30.59,0.5
15/01/2004,7.00,13.00,10.00,8.8,6.00,9.1,30.64,0.5
16/01/2004,3.2,11.4,4.6,5.6,4.4,5.45,30.7,0.5
17/01/2004,19.6,49.6,20.2,36.4,18.2,4.9,30.8,21.6
18/01/2004,27.00,40.2,26.6,25.2,24.8,8.35,31.32,32.8
19/01/2004,0.00,0.00,0.00,0.2,0.00,5.55,31.21,37.00
20/01/2004,0.2,0.00,0.00,0.00,0.00,3.15,31.05,19.00
21/01/2004,0.00,0.00,0.00,0.00,0.00,4.2,30.98,11.5
22/01/2004,0.00,0.00,0.00,0.00,0.00,4.25,30.91,8.5
23/01/2004,0.00,0.00,0.00,0.00,0.00,2.75,30.86,7.00
24/01/2004,0.00,0.00,0.00,0.00,0.00,2.4,30.82,6.00
25/01/2004,0.2,2.2,0.6,1.2,1.8,1.9,30.81,6.00
26/01/2004,0.6,0.00,0.2,0.2,0.4,-0.1,30.78,5.5
27/01/2004,8.4,6.8,7.8,8.8,7.6,1.1,30.77,5.15
28/01/2004,3.6,1.8,0.6,0.6,4.8,2.15,30.75,4.95
29/01/2004,0.00,0.00,0.00,0.00,0.2,0.6,30.72,5.00
30/01/2004,6.8,13.00,19.2,12.6,20.6,-0.1,30.73,5.05
31/01/2004,5.8,0.2,0.00,5.4,4.2,1.7,30.71,5.00
01/02/2004,8.2,0.6,0.00,12.8,0.00,1.65,30.7,4.8
02/02/2004,0.00,0.2,0.00,1.6,0.00,4.55,30.7,4.6
03/02/2004,0.00,0.00,0.00,0.00,0.00,6.75,30.75,5.25
04/02/2004,0.00,0.00,0.00,0.00,0.00,8.2,30.79,5.8
05/02/2004,0.00,0.00,0.00,0.00,0.00,6.55,30.79,5.9
06/02/2004,0.00,0.00,0.00,0.2,0.2,7.65,30.77,6.00
07/02/2004,3.2,8.2,6.4,4.4,4.2,9.4,30.75,5.8
08/02/2004,1.2,1.4,1.6,1.4,0.8,8.9,30.76,6.1
09/02/2004,0.00,0.00,0.00,0.00,0.00,9.5,30.75,6.6
10/02/2004,0.2,0.00,0.00,0.00,0.00,7.85,30.73,6.8
11/02/2004,0.00,0.00,0.00,0.00,0.00,8.3,30.7,6.3
12/02/2004,0.2,0.00,0.00,0.00,0.2,7.05,30.68,3.5
13/02/2004,0.00,0.00,0.2,0.00,0.00,6.25,30.68,3.5
14/02/2004,0.00,0.00,0.00,0.00,0.00,5.4,30.68,3.6
15/02/2004,0.00,0.00,0.00,0.00,0.00,5.8,30.68,3.7
16/02/2004,0.00,0.00,0.00,0.00,0.00,8.75,30.68,3.8
17/02/2004,0.00,0.00,0.00,0.00,0.00,8.8,30.67,4.00
18/02/2004,10.00,11.6,8.2,8.8,11.6,6.55,30.66,4.2
19/02/2004,23.4,21.4,20.6,23.2,25.00,3.15,30.73,5.3
20/02/2004,1.4,1.4,1.4,0.6,2.8,3.05,30.88,6.00
21/02/2004,14.4,26.00,13.8,18.00,18.8,5.75,30.89,6.7
22/02/2004,14.6,27.4,16.4,25.2,28.4,9.15,31.14,17.6
23/02/2004,13.2,29.2,21.8,29.00,23.8,10.05,31.28,44.5
24/02/2004,0.00,0.2,0.00,0.00,0.00,8.25,31.11,33.5
25/02/2004,3.4,3.4,2.8,3.2,5.2,1.65,30.96,8.1
26/02/2004,12.4,14.8,12.8,16.6,16.2,2.2,30.96,9.6
27/02/2004,2.4,2.4,1.6,3.4,2.4,3.1,31.03,12.4
28/02/2004,10.6,1.4,7.2,9.00,0.6,4.55,30.99,12.2
29/02/2004,4.4,13.2,7.00,17.00,17.4,0.45,30.98,11.8
01/03/2004,0.00,4.6,0.00,0.4,7.6,1.6,30.99,8.9
02/03/2004,0.00,0.00,0.00,0.00,0.00,1.55,30.95,8.6
03/03/2004,0.00,0.00,0.00,0.00,0.00,2.7,30.9,7.1
04/03/2004,0.00,0.00,0.00,0.00,0.00,7.2,30.91,6.1
05/03/2004,0.00,0.00,0.00,0.00,0.00,8.7,30.91,6.2
06/03/2004,11.4,13.8,9.2,16.2,20.8,7.75,30.91,6.3
07/03/2004,5.6,7.4,6.6,6.8,11.2,3.35,31.00,7.7
08/03/2004,0.2,1.8,0.6,0.2,0.4,1.35,30.98,7.9
09/03/2004,0.00,0.00,0.00,0.00,0.00,2.85,30.96,7.00
10/03/2004,1.00,4.4,1.6,2.2,2.2,5.05,30.94,6.4
11/03/2004,7.2,14.4,7.6,7.8,8.6,6.05,30.93,6.7
12/03/2004,0.00,0.00,0.00,0.2,0.00,4.3,30.95,7.1
13/03/2004,0.00,0.00,0.00,0.00,0.00,7.05,30.94,7.3
14/03/2004,0.00,0.00,0.00,0.00,0.00,10.25,30.93,6.9
15/03/2004,0.00,0.00,0.00,0.00,0.00,12.5,30.91,6.9
16/03/2004,0.00,0.00,0.00,0.00,0.00,14.6,30.88,6.2
17/03/2004,0.00,0.00,0.00,0.00,0.00,14.45,30.86,5.6
18/03/2004,0.00,0.00,0.00,0.00,0.00,16.45,30.84,5.6
19/03/2004,0.00,0.00,0.00,0.00,0.00,14.25,30.84,5.2
20/03/2004,0.00,0.4,1.2,0.2,0.6,9.6,30.84,4.6
21/03/2004,1.00,2.2,1.4,1.8,1.2,10.9,30.84,4.6
22/03/2004,0.00,0.6,0.00,0.00,0.00,11.85,30.83,4.6
23/03/2004,5.6,11.00,5.00,7.2,9.00,10.3,30.84,4.8
24/03/2004,0.2,0.2,0.00,0.00,1.2,6.8,30.83,4.8
25/03/2004,1.6,0.4,0.4,1.00,2.6,6.85,30.8,4.8
26/03/2004,0.00,0.2,0.00,0.00,0.4,6.9,30.78,4.7
27/03/2004,0.00,0.00,0.00,0.00,0.00,8.00,30.77,4.6
28/03/2004,0.00,0.00,0.00,0.00,0.00,9.35,30.75,4.6
29/03/2004,0.00,0.00,0.00,0.00,0.00,10.45,30.72,0.6
30/03/2004,0.00,0.00,0.00,0.00,0.00,11.6,30.73,0.6
31/03/2004,8.2,8.00,8.2,8.8,10.2,11.2,30.74,0.6
01/04/2004,0.00,0.00,0.00,0.00,0.00,9.75,30.75,0.6
02/04/2004,0.00,0.00,0.00,0.00,0.00,12.45,30.76,0.6
03/04/2004,0.00,0.00,0.00,0.00,0.00,15.00,30.77,0.6
04/04/2004,0.00,0.00,0.00,0.00,0.00,15.95,30.78,0.6
05/04/2004,0.00,0.00,0.00,0.00,0.00,14.3,30.8,0.6
06/04/2004,0.2,1.00,0.00,0.00,0.00,12.4,30.82,0.6
07/04/2004,13.4,12.6,11.2,17.00,23.6,10.75,30.84,0.6
08/04/2004,0.2,0.4,0.00,0.00,0.2,6.5,30.87,0.6
09/04/2004,7.2,7.4,8.4,8.4,10.4,11.6,30.9,0.6
10/04/2004,0.2,0.4,0.00,0.00,0.2,8.3,30.93,0.6
11/04/2004,0.00,0.00,0.00,0.00,0.00,9.3,30.95,0.6
12/04/2004,0.6,3.6,5.2,1.2,2.4,12.15,30.98,0.6
13/04/2004,0.00,0.2,0.2,0.2,0.4,7.05,31.00,0.6
14/04/2004,0.00,0.00,0.00,0.00,0.00,9.3,31.00,0.6
15/04/2004,0.4,3.4,2.4,2.4,1.8,10.65,31.00,0.6
16/04/2004,14.4,19.4,14.8,19.00,19.8,11.45,31.01,2.9
17/04/2004,6.2,3.6,6.4,3.2,4.2,12.00,31.08,7.4
18/04/2004,2.2,4.2,2.2,2.6,5.2,11.8,31.09,9.9
19/04/2004,9.4,10.6,10.4,9.6,12.6,10.95,31.09,9.5
20/04/2004,0.8,0.2,1.2,0.6,0.6,8.9,31.11,10.00
21/04/2004,0.2,0.00,0.00,0.00,0.00,13.5,31.11,9.8
22/04/2004,0.00,0.00,0.00,0.00,0.00,15.8,31.09,9.3
23/04/2004,0.00,0.00,0.00,0.00,0.00,16.9,31.08,7.5
24/04/2004,11.2,13.8,10.8,12.4,14.00,18.25,31.07,6.8
25/04/2004,0.2,0.00,0.00,0.00,0.00,15.45,31.07,6.8
26/04/2004,0.00,0.00,0.00,0.00,0.00,13.2,31.06,5.00
27/04/2004,0.00,0.00,0.00,0.00,0.00,13.85,31.05,5.2
28/04/2004,0.00,0.00,0.00,0.00,0.00,15.05,31.05,5.00
29/04/2004,0.4,0.2,0.4,0.2,0.6,15.00,31.05,4.8
30/04/2004,2.6,3.8,4.00,2.6,3.2,15.7,31.05,4.6
01/05/2004,0.00,0.00,0.00,0.00,0.00,13.9,31.05,3.9
02/05/2004,2.8,1.8,4.4,5.2,3.6,14.45,31.04,3.2
03/05/2004,2.4,13.8,2.8,3.4,4.6,14.6,31.04,3.00
04/05/2004,24.2,46.6,27.00,33.8,39.8,16.9,31.06,11.8
05/05/2004,19.6,28.4,16.4,29.00,30.6,12.95,31.23,25.5
06/05/2004,14.2,13.00,11.4,19.00,29.6,10.15,31.36,38.5
07/05/2004,8.2,8.8,9.8,7.6,6.6,9.25,31.23,32.2
08/05/2004,11.00,23.2,17.8,16.4,14.00,9.1,31.18,27.2
09/05/2004,0.00,1.4,0.4,0.8,0.6,9.85,31.12,21.4
10/05/2004,0.00,0.00,0.00,0.00,0.00,11.05,31.06,10.9
11/05/2004,0.00,0.00,0.00,0.00,0.2,12.1,31.08,7.00
12/05/2004,1.4,2.4,1.2,1.6,1.4,15.35,31.08,9.1
13/05/2004,0.00,0.4,0.00,0.00,0.00,14.3,31.08,9.1
14/05/2004,0.00,0.00,0.00,0.00,0.00,14.2,31.08,8.00
15/05/2004,0.00,0.00,0.00,0.00,0.00,16.2,31.08,8.00
16/05/2004,0.00,0.00,0.00,0.00,0.00,15.35,31.07,7.8
17/05/2004,0.00,0.00,0.00,0.00,0.00,17.45,31.06,6.9
18/05/2004,0.00,0.00,0.00,0.00,0.00,16.15,31.06,6.1
19/05/2004,0.00,0.00,0.00,0.00,0.00,17.2,31.05,5.7
20/05/2004,0.00,0.00,0.00,0.00,0.00,16.7,31.05,4.8
21/05/2004,0.00,0.00,0.00,0.00,0.00,16.75,31.04,4.8
22/05/2004,0.00,0.00,0.00,0.00,0.00,16.15,31.04,4.5
23/05/2004,0.00,0.00,0.00,0.00,0.00,16.65,31.04,4.1
24/05/2004,0.00,0.00,0.00,0.00,0.00,15.75,31.03,3.3
25/05/2004,0.00,0.00,0.00,0.00,0.00,15.1,31.03,3.3
26/05/2004,0.00,0.00,0.00,0.00,0.00,16.45,31.03,3.3
27/05/2004,0.00,0.00,0.00,0.00,0.00,17.2,31.03,3.3
28/05/2004,0.2,0.00,0.2,0.4,0.00,15.8,31.03,3.3
29/05/2004,0.00,0.00,0.00,0.00,0.00,17.05,31.02,2.5
30/05/2004,0.00,0.00,0.00,0.00,0.00,16.5,31.02,2.00
31/05/2004,9.4,7.00,5.8,8.6,11.2,14.45,31.02,2.00
01/06/2004,7.8,7.2,5.8,7.4,11.6,17.75,31.02,2.00
02/06/2004,1.2,7.2,2.6,2.6,0.00,16.1,31.02,2.00
03/06/2004,5.6,7.00,7.2,4.8,6.8,17.85,31.02,2.00
04/06/2004,0.2,0.00,0.00,0.00,0.00,19.00,31.02,2.00
05/06/2004,8.00,0.00,2.6,0.4,0.2,18.7,31.02,2.00
06/06/2004,8.00,4.2,4.2,6.2,7.4,18.2,31.02,2.00
07/06/2004,0.00,0.00,0.00,0.00,0.00,16.75,31.02,2.3
08/06/2004,0.00,0.00,0.00,0.00,0.00,19.85,31.01,1.7
